vbs,vgs,irg,sqrt(irg)
-4,1.07E+00,6.17E-12,0.000002484489686
-4,1.08E+00,6.19E-12,0.000002488542144
-4,1.09E+00,6.21E-12,0.000002492585204
-4,1.10E+00,6.23E-12,0.000002496642746
-4,1.11E+00,6.25E-12,0.000002500715897
-4,1.12E+00,6.27E-12,0.000002504789412
-4,1.13E+00,6.29E-12,0.000002508875844
-4,1.14E+00,6.32E-12,0.000002512995822
-4,1.15E+00,6.34E-12,0.000002517148387
-4,1.16E+00,6.36E-12,0.000002521354795
-4,1.17E+00,6.38E-12,0.000002525623685
-4,1.18E+00,6.40E-12,0.000002529971344
-4,1.19E+00,6.42E-12,0.000002534430903
-4,1.20E+00,6.45E-12,0.00000253904037
-4,1.21E+00,6.47E-12,0.000002543836866
-4,1.22E+00,6.50E-12,0.000002548889758
-4,1.23E+00,6.52E-12,0.000002554278567
-4,1.24E+00,6.55E-12,0.00000256009453
-4,1.25E+00,6.59E-12,0.000002566490405
-4,1.26E+00,6.62E-12,0.000002573610499
-4,1.27E+00,6.67E-12,0.000002581687239
-4,1.28E+00,6.71E-12,0.000002591017561
-4,1.29E+00,6.77E-12,0.000002601955226
-4,1.30E+00,6.84E-12,0.000002614998853
-4,1.31E+00,6.92E-12,0.000002630741721
-4,1.32E+00,7.02E-12,0.000002649995849
-4,1.33E+00,7.15E-12,0.00000267375298
-4,1.34E+00,7.31E-12,0.000002703292437
-4,1.35E+00,7.51E-12,0.000002740218969
-4,1.36E+00,7.76E-12,0.000002786564193
-4,1.37E+00,8.09E-12,0.000002844778726
-4,1.38E+00,8.51E-12,0.000002917910554
-4,1.39E+00,9.06E-12,0.000003009584523
-4,1.40E+00,9.76E-12,0.000003124115075
-4,1.41E+00,1.07E-11,0.000003266516493
-4,1.42E+00,1.19E-11,0.000003442474401
-4,1.43E+00,1.34E-11,0.00000365839309
-4,1.44E+00,1.54E-11,0.000003921349258
-4,1.45E+00,1.80E-11,0.000004239074191
-4,1.46E+00,2.13E-11,0.00000462001948
-4,1.47E+00,2.57E-11,0.000005073351949
-4,1.48E+00,3.15E-11,0.000005609163039
-4,1.49E+00,3.89E-11,0.00000623858157
-4,1.50E+00,4.86E-11,0.000006974048322
-4,1.51E+00,6.13E-11,0.000007829553627
-4,1.52E+00,7.78E-11,0.000008820942127
-4,1.53E+00,9.93E-11,0.00000996626861
-4,1.54E+00,1.27E-10,0.00001128613308
-4,1.55E+00,1.64E-10,0.00001280410091
-4,1.56E+00,2.12E-10,0.00001454714749
-4,1.57E+00,2.74E-10,0.00001654614457
-4,1.58E+00,3.55E-10,0.00001883643544
-4,1.59E+00,4.60E-10,0.0000214584622
-4,1.60E+00,5.98E-10,0.00002445849546
-4,1.61E+00,7.78E-10,0.00002788944424
-4,1.62E+00,1.01E-09,0.00003181180598
-4,1.63E+00,1.32E-09,0.00003629469658
-4,1.64E+00,1.72E-09,0.00004141715828
-4,1.65E+00,2.23E-09,0.00004726944045
-4,1.66E+00,2.91E-09,0.00005395467542
